text,date,username,university_type
The lecture halls in this private university are modern and well-equipped.,2025-05-22 13:53:51.393277,user1,private
Public university infrastructure is outdated and needs repair.,2025-05-22 13:53:51.393277,user2,public
Private uni has amazing libraries and study spaces!,2025-05-22 13:53:51.393277,user3,private
"The public uni's buildings are falling apart, very disappointing.",2025-05-22 13:53:51.393277,user4,public
"Great facilities at this private institution, love the new tech labs.",2025-05-22 13:53:51.393277,user5,private
Public university lacks proper maintenance for classrooms.,2025-05-22 13:53:51.393277,user6,public
State university classrooms are spacious but old.,2025-05-22 13:53:51.393277,user7,public
"Private college campus is stunning, great investment in facilities.",2025-05-22 13:53:51.393277,user8,private
Public uni needs better funding for infrastructure upgrades.,2025-05-22 13:53:51.393277,user9,public
"The private university's labs are top-notch, best I've seen.",2025-05-22 13:53:51.393277,user10,private
